"Type","Position","Bib","Name","Time","Category","Cat_Pos","Gender","Gen_Pos","Loop_1_Green","Loop_2_Yellow","Loop_3_Red","Loop_4_Green","Loop_5_Yellow","Loop_6_Red","Loop_7_Green","Loop_8_Yellow","Loop_9_Red","Loop_10_Green","Loop_11_Yellow","Loop_12_Red","Loop_13_Green","Loop_14_Yellow","Loop_15_Red","Loop_16_Green","Loop_17_Yellow","Loop_18_Red","Loop_19_Green","Loop_20_Yellow","Loop_21_Red","Loop_22_Green","Loop_23_Yellow","Loop_24_Red"
"Regular","1","38","Slap Happy","20:47:21","Open","1","Male","1","47:41:00","32:54:00","41:34:00","36:46:00","34:32:00","54:18:00","44:48:00","04:36:20","54:07:00","40:29:00","29:13:00","47:27:00","39:30:00","35:17:00","55:02:00","42:51:00","37:29:00","47:18:00","33:28:00","32:09:00","49:20:00","44:02:00","37:20:00","53:11:00"
"Regular","2","666","Hammpions","21:24:52","Open","1","Mixed","1","42:40:00","35:19:00","51:55:00","43:49:00","35:26:00","57:54:00","04:47:33","31:06:00","52:43:00","39:57:00","38:18:00","49:39:00","41:13:00","40:04:00","59:42:00","38:13:00","34:54:00","49:52:00","42:47:00","40:16:00","44:10:00","42:46:00","40:16:00","44:10:00"
"Regular","3","171","Miamimodafocas","22:03:02","Open","2","Male","2","45:11:00","36:49:00","51:06:00","45:18:00","36:49:00","58:18:00","43:32:00","33:38:00","56:37:00","05:46:30","37:39:00","01:00:21","46:27:00","39:56:00","52:00:00","39:20:00","39:47:00","55:51:00","40:59:00","38:13:00","54:16:00","44:57:00","35:16:00","44:04:00"
"Regular","4","227","36 Run Club","22:20:13","CrossFit","1","Mixed","2","44:06:00","39:32:00","49:42:00","47:05:00","39:08:00","54:23:00","42:37:00","34:34:00","01:00:45","04:44:25","35:52:00","01:07:56","48:00:00","38:00:00","53:19:00","38:21:00","38:51:00","57:23:00","40:02:00","41:00:00","56:45:00","45:36:00","36:09:00","46:29:00"
"Regular","5","124","Extremophile Runners","22:30:45","Masters","1","Male","3","45:52:00","41:41:00","01:04:46","44:31:00","47:19:00","45:29:00","04:40:56","40:20:00","59:21:00","49:41:00","44:27:00","49:47:00","53:03:00","31:43:00","53:11:00","42:37:00","35:01:00","55:12:00","42:36:00","35:01:00","55:12:00","42:38:00","34:59:00","55:12:00"
"Regular","6","175","Postfontaine","23:02:48","Open","3","Male","4","44:03:00","40:47:00","01:04:23","44:23:00","38:57:00","56:14:00","50:16:00","30:53:00","56:11:00","49:21:00","45:53:00","04:57:40","47:54:00","38:25:00","01:02:37","35:26:00","42:50:00","58:35:00","51:17:00","37:14:00","58:02:00","45:41:00","41:31:00","44:04:00"
"Regular","7","223","Morning Chalk Up","23:18:47","CrossFit","2","Mixed","3","43:11:00","37:23:00","01:01:20","48:32:00","42:59:00","53:20:00","45:33:00","37:18:00","54:38:00","04:43:16","47:30:00","01:05:31","51:56:00","37:48:00","58:11:00","44:55:00","38:22:00","59:46:00","49:02:00","38:10:00","01:02:42","43:44:00","38:08:00","55:19:00"
"Regular","8","86","The Bad News Beavers","23:27:16","Open","1","Female","1","45:05:00","33:39:00","43:23:00","50:49:00","36:01:00","01:05:25","51:03:00","43:09:00","01:00:48","04:40:11","31:47:00","01:08:29","44:06:00","48:44:00","01:10:39","51:01:00","45:10:00","48:19:00","36:20:00","45:32:00","50:06:00","48:53:00","43:48:00","01:04:41"
"Regular","9","42","The Griswolds","23:42:05","Open","2","Mixed","4","47:22:00","37:47:00","56:36:00","49:31:00","38:15:00","58:41:00","04:50:51","36:54:00","01:15:40","47:18:00","39:04:00","01:04:40","42:39:00","39:10:00","01:02:17","46:40:00","44:07:00","54:17:00","46:39:00","44:07:00","54:17:00","46:40:00","44:07:00","54:17:00"
"Regular","10","53","Whaaaaaaaaaaaat?","23:57:59","Open","4","Male","5","44:57:00","47:47:00","52:16:00","42:18:00","36:41:00","01:01:20","43:58:00","39:49:00","58:02:00","01:00:48","41:33:00","55:35:00","04:43:49","53:04:00","01:05:42","50:03:00","45:02:00","01:17:04","43:31:00","37:51:00","58:41:00","50:36:00","37:03:00","50:17:00"
"Regular","11","187","Osceola Warriors Cross Country Team","24:07:55","High School","1","Mixed","5","42:38:00","39:16:00","51:13:00","41:54:00","32:30:00","01:01:33","05:20:07","43:42:00","59:14:00","51:57:00","49:31:00","56:00:00","40:51:00","47:00:00","01:19:45","43:20:00","38:51:00","01:01:21","43:19:00","38:51:00","01:01:21","43:20:00","38:51:00","01:01:21"
